Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38391535,February,2/5/2018 18:51,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,BRONX ZOO,BRONX,10460,40.85023185,-73.87632289,"(40.85023185062718, -73.87632289476633)"
38399834,February,2/6/2018 11:18,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,TREMONT PARK,BRONX,10457,40.84525269,-73.89548087,"(40.84525268735153, -73.89548087195158)"
38583265,March,3/1/2018 8:56,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,BRONX ZOO,BRONX,10460,40.85023185,-73.87632289,"(40.85023185062718, -73.87632289476633)"
38584326,March,3/1/2018 7:46,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,BRONX ZOO,BRONX,10460,40.85023185,-73.87632289,"(40.85023185062718, -73.87632289476633)"
38635039,March,3/7/2018 10:52,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,LEHMAN COLLEGE,BRONX,10468,40.87275095,-73.89448307,"(40.872750945866215, -73.89448307058163)"
38659109,March,3/10/2018 9:12,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,VIRGINIA PLAYGROUND,BRONX,10460,40.83428284,-73.86223368,"(40.83428283678711, -73.86223368024025)"
38734483,March,3/19/2018 9:06,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Beach,ORCHARD BEACH,BRONX,10464,40.86582898,-73.79319996,"(40.865828984810776, -73.79319996009694)"
38888924,April,4/8/2018 13:53,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,VAN CORTLANDT PARK,BRONX,10471,40.8958647,-73.89229422,"(40.89586469711286, -73.89229421538577)"
38941246,April,4/14/2018 14:30,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,ORCHARD BEACH,BRONX,10464,40.86582898,-73.79319996,"(40.865828984810776, -73.79319996009694)"
39031065,April,4/25/2018 10:30,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39041707,April,4/26/2018 13:55,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,BENSONHURST PARK,BROOKLYN,11214,40.59727286,-74.00082461,"(40.597272859567674, -74.00082460689573)"
39049852,April,4/27/2018 7:06,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39053671,April,4/28/2018 13:23,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39055235,April,4/28/2018 10:19,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39072996,May,5/1/2018 14:36,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39074208,May,5/1/2018 21:08,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39074782,May,5/1/2018 9:13,Traffic Management Center,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,BROOKLYN COLLEGE,BROOKLYN,11210,40.63128461,-73.952116,"(40.63128460590185, -73.95211599846469)"
39114121,May,5/5/2018 14:16,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
39090224,May,5/2/2018 23:24,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,FRIENDS FIELD PARK,BROOKLYN,11230,40.6187422,-73.97287648,"(40.618742195365755, -73.97287647520812)"
39092126,May,5/2/2018 10:26,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,BKLYN PUBLIC LIBRARY CTR BRANCH,BROOKLYN,11238,40.67231916,-73.96810336,"(40.67231916068355, -73.96810335555394)"
39113219,May,5/5/2018 9:26,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CONEY ISLAND HOSPITAL,BROOKLYN,11235,40.58615127,-73.9655919,"(40.586151272301464, -73.96559189570597)"
39266988,May,5/23/2018 9:30,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,HERBERT VON KING PARK,BROOKLYN,11216,40.68967189,-73.94662556,"(40.68967189289228, -73.94662556274103)"
39300047,May,5/27/2018 18:54,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39119956,May,5/6/2018 0:27,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39128178,May,5/7/2018 10:48,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,MCCARREN PARK,BROOKLYN,11222,40.72084647,-73.95180273,"(40.72084647199604, -73.95180272776703)"
39134146,May,5/7/2018 14:17,Department of Parks and Recreation,DPR Internal,Property,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39134774,May,5/7/2018 15:11,Department of Parks and Recreation,DPR Internal,Property,Park,MARINE PARK,BROOKLYN,11229,40.60081723,-73.93031161,"(40.60081722577983, -73.93031160938723)"
39285206,May,5/25/2018 6:01,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39289883,May,5/25/2018 15:58,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39318188,May,5/29/2018 23:59,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39144960,May,5/9/2018 20:26,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39161539,May,5/10/2018 8:36,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39305221,May,5/28/2018 15:42,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,MARIA HERNANDEZ PARK,BROOKLYN,11237,40.70317707,-73.92386055,"(40.703177068089516, -73.92386055355293)"
39318303,May,5/29/2018 23:14,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39193613,May,5/15/2018 16:20,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,MARINE PARK,BROOKLYN,11229,40.60081723,-73.93031161,"(40.60081722577983, -73.93031160938723)"
39195579,May,5/15/2018 14:32,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,BENSON PLAYGROUND,BROOKLYN,11214,40.60243855,-74.00224714,"(40.60243854929026, -74.0022471376162)"
39199127,May,5/15/2018 15:43,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,KOLBERT PARK,BROOKLYN,11230,40.62009913,-73.95796308,"(40.62009912622072, -73.9579630841687)"
38151954,January,1/8/2018 10:16,Department of Transportation,Bus Stop Shelter Complaint,Snow Removal Requested,Bus Stop Shelter,KINGSBOROUGH COMMUNITY COLLEGE,BROOKLYN,11235,40.57790383,-73.93535012,"(40.577903827726615, -73.93535012227942)"
38191032,January,1/12/2018 16:11,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,CONEY ISLAND HOSPITAL,BROOKLYN,11235,40.58615127,-73.9655919,"(40.586151272301464, -73.96559189570597)"
38450440,February,2/12/2018 15:22,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,GRAND ARMY PLAZA,BROOKLYN,11238,40.67399127,-73.97011778,"(40.67399126989863, -73.97011777647462)"
38504394,February,2/19/2018 6:42,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,SUMNER PLAYGROUND,BROOKLYN,11206,40.69730051,-73.94278956,"(40.69730050814071, -73.94278955777297)"
38548856,February,2/25/2018 10:21,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,CONEY ISLAND BOARDWALK,BROOKLYN,11235,40.57328132,-73.97869751,"(40.573281324698655, -73.97869750720577)"
38548870,February,2/25/2018 20:55,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,HARMONY PARK,BROOKLYN,11213,40.67793719,-73.93444557,"(40.677937185486186, -73.93444557131045)"
38658160,March,3/10/2018 18:01,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,BROOKLYN BRIDGE,BROOKLYN,11201,40.70384711,-73.99395524,"(40.703847111924425, -73.99395523760629)"
38664831,March,3/11/2018 15:24,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
38766927,March,3/23/2018 12:50,Department of Parks and Recreation,DPR Internal,Lost/Missing Person,Park,BROOKLYN BRIDGE PARK,BROOKLYN,11201,40.70143729,-73.99592462,"(40.70143729448085, -73.99592462136417)"
38767671,March,3/23/2018 14:21,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CONEY ISLAND BOARDWALK,BROOKLYN,11235,40.57328132,-73.97869751,"(40.573281324698655, -73.97869750720577)"
38882154,April,4/7/2018 9:35,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
38887963,April,4/8/2018 11:49,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,GREEN CENTRAL KNOLL,BROOKLYN,11206,40.70198059,-73.93308389,"(40.70198059210182, -73.93308389490011)"
38928327,April,4/13/2018 16:04,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
38938809,April,4/14/2018 7:35,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
