Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39060647,4/29/2018 10:19,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,GREAT KILLS,STATEN ISLAND,10306,40.540936,-74.13497407,"(40.54093600401107, -74.13497406598722)"
39302063,5/27/2018 14:09,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Street/Curbside,BLUE HERON PARK PRESERVE,STATEN ISLAND,10312,40.53183007,-74.17466719,"(40.53183007271259, -74.1746671915421)"
39133269,5/7/2018 11:34,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
39137434,5/8/2018 14:28,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
39190069,5/14/2018 16:47,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,CLOVE LAKE PARK,STATEN ISLAND,10310,40.61931497,-74.11371089,"(40.61931496873211, -74.11371089040878)"
39007039,4/23/2018 19:20,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,WOLFES POND,STATEN ISLAND,10309,40.51553296,-74.19252084,"(40.51553296107795, -74.19252083914577)"
