Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
40011700,8/14/2018 12:13,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
40012650,8/14/2018 11:34,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39051474,4/28/2018 16:35,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39053807,4/28/2018 10:13,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055035,4/28/2018 13:45,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055422,4/28/2018 14:01,New York City Police Department,Vending,In Prohibited Area,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39057546,4/28/2018 11:47,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39737808,7/15/2018 19:36,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,INWOOD HILL PARK,MANHATTAN,10034,40.87244554,-73.92513113,"(40.8724455362315, -73.92513113415541)"
39478204,6/16/2018 20:15,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,EAST RIVER PARK,MANHATTAN,10002,40.71381104,-73.97617445,"(40.713811040292896, -73.97617444840935)"
40286657,9/15/2018 11:04,New York City Police Department,Vending,Unlicensed,Street/Sidewalk,MUSEUM NATURAL HIST,MANHATTAN,10024,40.781065000000005,-73.97338087,"(40.78106500454712, -73.97338086749262)"
39480067,6/16/2018 20:46,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,PIER 83,MANHATTAN,10036,40.76279634,-74.00150531,"(40.76279634271258, -74.00150530839039)"
39480073,6/16/2018 20:52,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,PIER 81,MANHATTAN,10036,40.76219246,-74.00330659,"(40.76219246170183, -74.00330659468645)"
40287454,9/15/2018 13:16,New York City Police Department,Vending,Unlicensed,Street/Sidewalk,MUSEUM NATURAL HIST,MANHATTAN,10024,40.781065000000005,-73.97338087,"(40.78106500454712, -73.97338086749262)"
